SEASON;COMPETITION;RECORD;FINISH;Coach
2018-19;EuroLeague;16-18;Playoffs;Jasikevicius, Sarunas
2017-18;EuroLeague;22-14;Final Four, Semifinals;Jasikevicius, Sarunas
2016-17;EuroLeague;14-16;Regular Season;Jasikevicius, Sarunas
2015-16;EuroLeague;7-17;Top 16;Jasikevicius, Sarunas
2014-15;EuroLeague;10-14;Top 16;Krapikas, Gintaras
2013-14;EuroLeague;7-17;Top 16;Krapikas, Gintaras
2012-13;EuroLeague;14-10;Top 16;Plaza, Joan
2011-12;EuroLeague;4-12;Top 16;Zouros, Ilja
2010-11;EuroLeague;6-10;Top 16;Grigas, Rimantas
2009-10;EuroLeague;5-11;Top 16;Krapikas, Gintaras
2008-09;EuroLeague;2-8;Regular Season;Krapikas, Gintaras
2007-08;EuroLeague;9-11;Top 16;Grigas, Rimantas
2006-07;EuroLeague;2-12;Regular Season;Grigas, Rimantas
2005-06;EuroLeague;9-11;Top 16;Sireika, Antanas
2004-05;EuroLeague;8-12;Top 16;Sireika, Antanas
2003-04;EuroLeague;9-11;Top 16;Sireika, Antanas
2002-03;EuroLeague;5-9;Regular Season;Sireika, Antanas
2001-02;EuroLeague;5-9;Regular Season;Brazys, Algirdas
2000-01;EuroLeague;6-6;Playoffs;Brazys, Algirdas
