Player;G;GS;Min;Pts;2FG;3FG;FT;O;D;T;As;St;To;Fv;Ag;Cm;Rv;PIR;Season;Nationality
ANDRIUKAITIS, MARTYNAS;4;1;75:50;41;15/24;;11/12;7;9;16;1;1;4;2;;11;12;48;2000-01;LTU
GINEVICIUS, VIDAS;1;0;21:00;;0/2;0/1;;;2;2;1;1;2;;;2;1;-2;2000-01;LTU
GUSTAS, GIEDRIUS;5;3;42:39;12;1/5;1/3;7/8;2;1;3;2;1;2;;;6;6;9;2000-01;LTU
JURKUNAS, ANDRIUS;12;9;315:03;145;25/45;24/58;23/35;7;37;44;13;15;21;11;3;45;32;125;2000-01;LTU
KARLIKANOVAS, NERIJUS;2;0;24:00;10;5/9;;;1;3;4;2;;2;;1;4;2;7;2000-01;LTU
KHIZHNIAK, GRYGORII;12;12;358:08;145;41/73;0/3;63/75;20;66;86;10;8;25;38;4;49;64;226;2000-01;UKR
MARCIULONIS, KESTUTIS;12;11;321:05;133;20/44;17/48;42/45;2;21;23;30;13;32;;7;35;42;109;2000-01;LTU
MASIULIS, TOMAS;5;5;153:58;64;23/33;2/6;12/19;13;28;41;10;8;5;2;1;16;14;96;2000-01;LTU
MASIULIS, ARTURAS;6;1;67:20;15;6/16;0/1;3/4;1;10;11;;1;6;5;2;13;3;2;2000-01;LTU
SALENGA, DAINIUS;6;1;133:02;44;11/22;4/10;10/12;4;10;14;7;6;10;1;1;11;9;40;2000-01;LTU
SLANINA, DONATAS;12;9;340:09;174;29/50;32/58;20/23;8;32;40;12;8;14;4;2;35;27;164;2000-01;LTU
WHITE, JOHN;6;5;166:37;71;11/29;10/33;19/21;7;13;20;16;3;11;;2;21;22;55;2000-01;USA
WOODBERRY, STEVE;12;12;406:09;143;40/93;14/32;21/28;19;39;58;34;19;27;4;;19;32;166;2000-01;USA
GINEVICIUS, VIDAS;10;8;181:32;36;10/25;1/10;13/19;3;9;12;22;14;13;1;2;21;27;46;2001-02;LTU
GUSTAS, GIEDRIUS;7;4;68:37;10;4/13;0/7;2/4;2;6;8;7;3;5;;2;10;7;;2001-02;LTU
HAMILTON, SHERMAN;5;0;45:48;16;2/6;3/7;3/6;;3;3;2;3;5;;;2;5;11;2001-02;CAN
INGE, KENNETH;3;3;67:35;7;3/8;;1/4;6;4;10;1;4;2;;1;5;8;14;2001-02;USA
JURKUNAS, ANDRIUS;5;0;108:35;33;4/4;8/14;1/4;3;6;9;4;2;11;3;;19;6;18;2001-02;LTU
KHIZHNIAK, GRYGORII;14;14;450:22;202;64/125;1/3;71/80;28;85;113;20;13;34;45;6;51;72;302;2001-02;UKR
MARCIULONIS, KESTUTIS;5;1;97:29;34;10/21;2/9;8/10;2;9;11;6;2;13;;2;12;13;19;2001-02;LTU
MASIULIS, TOMAS;11;10;285:31;98;31/60;8/15;12/22;26;39;65;19;12;21;8;3;31;28;129;2001-02;LTU
MASIULIS, ARTURAS;9;0;84:15;22;7/19;;8/10;7;15;22;2;4;5;5;1;17;7;25;2001-02;LTU
MATULIS, ROLANDAS;9;2;119:56;25;10/25;;5/9;10;13;23;2;4;6;1;;22;8;16;2001-02;LTU
SALENGA, DAINIUS;14;10;424:56;164;38/73;18/52;34/42;17;20;37;27;20;27;6;7;23;38;158;2001-02;LTU
SLANINA, DONATAS;14;6;428:33;232;47/103;31/96;45/51;11;27;38;24;14;28;;9;37;48;155;2001-02;LTU
WOODBERRY, STEVE;14;14;436:51;175;61/116;7/21;32/46;16;47;63;43;20;30;2;5;21;47;211;2001-02;USA
BEARD, TANOKA;3;2;90:00;51;22/33;0/2;7/8;10;30;40;5;5;7;1;1;7;9;82;2002-03;USA
CARRAWELL, CHRIS;6;4;111:00;33;11/32;0/2;11/15;4;8;12;3;2;2;3;4;6;9;23;2002-03;USA
COTA, ED;14;14;502:00;170;63/124;5/24;29/37;24;40;64;91;17;39;1;1;22;38;231;2002-03;USA
DAVID, KORNEL;13;13;428:00;220;74/139;1/1;69/87;41;66;107;14;12;29;10;4;40;76;283;2002-03;HNG
EINIKIS, GINTARAS;14;12;364:00;182;61/115;16/36;12/16;22;47;69;8;10;8;5;3;51;19;153;2002-03;LTU
GINEVICIUS, VIDAS;13;1;234:00;82;11/17;13/35;21/31;3;13;16;11;15;12;;;32;41;83;2002-03;LTU
